Symbol,Timestamp,Open,Close,ChangePct,Volume,RVOL
FFL,2026-01-07T08:53:33.000000000Z,21.5,22.05,2.5581,231653,0.8257
FFL,2026-01-07T08:55:14.000000000Z,21.52,22.1,2.6952,295194,1.0521
FFL,2026-01-07T08:57:07.000000000Z,21.57,22.18,2.8280,379629,1.3531
FFL,2026-01-07T08:58:15.000000000Z,21.6,22.14,2.5000,225824,0.8049
FFL,2026-01-07T08:59:45.000000000Z,21.56,22.11,2.5510,280818,1.0009
FFL,2026-01-07T09:01:00.000000000Z,21.63,22.1,2.1729,680506,2.4255
FFL,2026-01-07T09:02:06.000000000Z,21.72,22.1,1.7495,545219,1.9433
FFL,2026-01-07T09:03:03.000000000Z,21.68,22.11,1.9834,988332,3.5226
FFL,2026-01-07T09:03:55.000000000Z,21.69,22.1,1.8903,118179,0.4212
FFL,2026-01-07T09:05:09.000000000Z,21.7,22.02,1.4747,174229,0.6210
FFL,2026-01-07T09:06:19.000000000Z,21.65,22.01,1.6628,271143,0.9664
FFL,2026-01-07T09:07:38.000000000Z,21.65,21.95,1.3857,136785,0.4875
FFL,2026-01-07T09:09:44.000000000Z,21.62,21.95,1.5264,120229,0.4285
FFL,2026-01-07T09:11:35.000000000Z,21.57,21.94,1.7153,65447,0.2333
FFL,2026-01-07T09:14:42.000000000Z,21.53,21.99,2.1366,69450,0.2475
FFL,2026-01-07T09:17:10.000000000Z,21.53,21.98,2.0901,102633,0.3658
FFL,2026-01-07T09:20:06.000000000Z,21.51,22.01,2.3245,137889,0.4915
FFL,2026-01-07T09:22:59.000000000Z,21.55,22,2.0882,66306,0.2363
FFL,2026-01-07T09:25:21.000000000Z,21.5,22.07,2.6512,189390,0.6750
FFL,2026-01-07T09:27:40.000000000Z,21.49,22.07,2.6989,65135,0.2322
FFL,2026-01-07T09:31:00.000000000Z,21.49,22.07,2.6989,84756,0.3021
FFL,2026-01-07T09:34:45.000000000Z,21.47,22.02,2.5617,123190,0.4391
FFL,2026-01-07T09:37:39.000000000Z,21.45,22.02,2.6573,369610,1.3174
FFL,2026-01-07T09:41:32.000000000Z,21.46,22,2.5163,159038,0.5668
FFL,2026-01-07T09:44:56.000000000Z,21.44,22,2.6119,162691,0.5799
FFL,2026-01-07T09:48:01.000000000Z,21.45,22.04,2.7506,310344,1.1061
FFL,2026-01-07T09:51:23.000000000Z,21.45,22.02,2.6573,98365,0.3506
FFL,2026-01-07T09:53:28.000000000Z,21.38,22.01,2.9467,167616,0.5974
FFL,2026-01-07T09:55:57.000000000Z,21.43,22,2.6598,213663,0.7615
FFL,2026-01-07T09:58:04.000000000Z,21.4,21.97,2.6636,457730,1.6315
FFL,2026-01-07T09:59:57.000000000Z,21.39,21.99,2.8050,192784,0.6871
FFL,2026-01-07T10:02:54.000000000Z,21.36,22,2.9963,128594,0.4583
FFL,2026-01-07T10:05:38.000000000Z,21.34,21.97,2.9522,450001,1.6039
FFL,2026-01-07T10:08:49.000000000Z,21.34,21.93,2.7648,130802,0.4662
FFL,2026-01-07T10:11:30.000000000Z,21.34,21.88,2.5305,819486,2.9208
FFL,2026-01-07T10:13:03.000000000Z,21.35,21.96,2.8571,191722,0.6833
FFL,2026-01-07T10:15:47.000000000Z,21.35,21.98,2.9508,195538,0.6969
FFL,2026-01-07T10:18:51.000000000Z,21.37,21.95,2.7141,469397,1.6730
FFL,2026-01-07T10:21:10.000000000Z,21.32,21.92,2.8143,170360,0.6072
FFL,2026-01-07T10:23:09.000000000Z,21.33,22.01,3.1880,435156,1.5510
FFL,2026-01-07T10:25:13.000000000Z,21.33,22.14,3.7975,269970,0.9622
FFL,2026-01-07T10:27:00.000000000Z,21.34,22.22,4.1237,215548,0.7683
FFL,2026-01-07T10:28:26.000000000Z,21.34,22.1,3.5614,497225,1.7722
FFL,2026-01-07T10:29:48.000000000Z,21.35,22.1,3.5129,301001,1.0728
FFL,2026-01-08T04:32:45.000000000Z,21.41,22.11,3.2695,186131,0.6634
FFL,2026-01-08T04:33:59.000000000Z,21.5,22.13,2.9302,158910,0.5664
FFL,2026-01-08T04:35:10.000000000Z,21.42,22.12,3.2680,155919,0.5557
FFL,2026-01-08T04:36:32.000000000Z,21.45,22.05,2.7972,250405,0.8925
FFL,2026-01-08T04:37:45.000000000Z,21.37,21.96,2.7609,218654,0.7793
FFL,2026-01-08T04:39:09.000000000Z,21.35,21.91,2.6230,180564,0.6436
FFL,2026-01-08T04:40:43.000000000Z,21.35,21.87,2.4356,281677,1.0040
FFL,2026-01-08T04:42:14.000000000Z,21.41,21.85,2.0551,77570,0.2765
FFL,2026-01-08T04:43:48.000000000Z,21.45,21.9,2.0979,169912,0.6056
FFL,2026-01-08T04:45:22.000000000Z,21.42,21.9,2.2409,103328,0.3683
FFL,2026-01-08T04:47:00.000000000Z,21.4,21.86,2.1495,213985,0.7627
FFL,2026-01-08T04:48:13.000000000Z,21.37,21.96,2.7609,126093,0.4494
FFL,2026-01-08T04:49:45.000000000Z,21.36,22,2.9963,109786,0.3913
FFL,2026-01-08T04:51:31.000000000Z,21.35,21.97,2.9040,160378,0.5716
FFL,2026-01-08T04:53:04.000000000Z,21.31,22,3.2379,261263,0.9312
FFL,2026-01-08T04:54:26.000000000Z,21.26,21.97,3.3396,51652,0.1841
FFL,2026-01-08T04:56:21.000000000Z,21.29,21.95,3.1000,61263,0.2184
FFL,2026-01-08T04:58:04.000000000Z,21.26,21.93,3.1515,131599,0.4690
